Year,Cause Name,State,Deaths
2001,Homicide,New York,2818
2001,Homicide,North Carolina,599
2001,Homicide,North Dakota,
2001,Homicide,Ohio,524
2001,Homicide,Oklahoma,210
2001,Homicide,Oregon,100
2001,Homicide,Pennsylvania,671
2001,Homicide,Rhode Island,37
2001,Homicide,South Carolina,350
2001,Homicide,South Dakota,18
2001,Homicide,Tennessee,454
2001,Homicide,Texas,1415
2001,Homicide,United States,20308
2001,Homicide,Utah,77
2001,Homicide,Vermont,14
2001,Homicide,Virginia,509
2001,Homicide,Washington,195
2001,Homicide,West Virginia,68
2001,Homicide,Wisconsin,214
2001,Homicide,Wyoming,16
2002,Homicide,Alabama,416
2002,Homicide,Alaska,40
2002,Homicide,Arizona,504
2002,Homicide,Arkansas,194
2002,Homicide,California,2485
2002,Homicide,Colorado,184
2002,Homicide,Connecticut,98
2002,Homicide,Delaware,38
2002,Homicide,District of Columbia,229
2002,Homicide,Florida,1008
2002,Homicide,Georgia,672
2002,Homicide,Hawaii,38
2002,Homicide,Idaho,32
2002,Homicide,Illinois,1016
2002,Homicide,Indiana,385
2002,Homicide,Iowa,56
2002,Homicide,Kansas,129
2002,Homicide,Kentucky,195
2002,Homicide,Louisiana,607
2002,Homicide,Maine,11
2002,Homicide,Maryland,540
2002,Homicide,Massachusetts,185
2002,Homicide,Michigan,696
2002,Homicide,Minnesota,127
2002,Homicide,Mississippi,305
2002,Homicide,Missouri,366
2002,Homicide,Montana,23
2002,Homicide,Nebraska,50
2002,Homicide,Nevada,175
2002,Homicide,New Hampshire,
2002,Homicide,New Jersey,333
2002,Homicide,New Mexico,161
2002,Homicide,New York,929
2002,Homicide,North Carolina,644
2002,Homicide,North Dakota,
2002,Homicide,Ohio,549
2002,Homicide,Oklahoma,196
2002,Homicide,Oregon,106
2002,Homicide,Pennsylvania,640
2002,Homicide,Rhode Island,43
2002,Homicide,South Carolina,326
2002,Homicide,South Dakota,22
2002,Homicide,Tennessee,467
2002,Homicide,Texas,1421
2002,Homicide,United States,17638
2002,Homicide,Utah,54
2002,Homicide,Vermont,
2002,Homicide,Virginia,397
2003,Homicide,Oklahoma,224
2002,Homicide,Washington,213
2002,Homicide,West Virginia,95
2002,Homicide,Wisconsin,191
2002,Homicide,Wyoming,23
2003,Homicide,Alabama,434
2003,Homicide,Alaska,47
2003,Homicide,Arizona,498
2003,Homicide,Arkansas,195
2003,Homicide,California,2487
2003,Homicide,Colorado,192
2003,Homicide,Connecticut,107
2003,Homicide,Delaware,25
2003,Homicide,District of Columbia,194
2003,Homicide,Florida,1004
2003,Homicide,Georgia,736
2003,Homicide,Hawaii,20
2003,Homicide,Idaho,33
2003,Homicide,Illinois,966
2003,Homicide,Indiana,347
2003,Homicide,Iowa,50
2003,Homicide,Kansas,121
2003,Homicide,Kentucky,193
2003,Homicide,Louisiana,602
2003,Homicide,Maine,17
2003,Homicide,Maryland,557
2003,Homicide,Massachusetts,140
2003,Homicide,Michigan,650
2003,Homicide,Minnesota,130
2003,Homicide,Mississippi,304
2003,Homicide,Missouri,323
2003,Homicide,Montana,37
2003,Homicide,Nebraska,63
2003,Homicide,Nevada,183
2003,Homicide,New Hampshire,20
2003,Homicide,New Jersey,423
2003,Homicide,New Mexico,164
2003,Homicide,New York,963
2003,Homicide,North Carolina,598
2003,Homicide,North Dakota,12
2003,Homicide,Ohio,520
2003,Homicide,Oregon,93
2003,Homicide,Pennsylvania,676
2003,Homicide,Rhode Island,29
2003,Homicide,South Carolina,325
2003,Homicide,South Dakota,16
2003,Homicide,Tennessee,438
2003,Homicide,Texas,1525
2003,Homicide,United States,17732
2003,Homicide,Utah,58
2003,Homicide,Vermont,12
2003,Homicide,Virginia,462
2003,Homicide,Washington,219
2003,Homicide,West Virginia,89
2003,Homicide,Wisconsin,195
2003,Homicide,Wyoming,16
2004,Homicide,Alabama,369
2004,Homicide,Alaska,41
2004,Homicide,Arizona,509
2004,Homicide,Arkansas,211
2004,Homicide,California,2490
2004,Homicide,Colorado,219
2004,Homicide,Connecticut,110
2004,Homicide,Delaware,35
2004,Homicide,District of Columbia,174
2004,Homicide,Florida,1032
2004,Homicide,Georgia,659
2004,Homicide,Hawaii,31
2004,Homicide,Idaho,31
2004,Homicide,Illinois,871
2004,Homicide,Indiana,332
2004,Homicide,Iowa,57
2004,Homicide,Kansas,117
2004,Homicide,Kentucky,228
2004,Homicide,Louisiana,602
2004,Homicide,Maine,21
2004,Homicide,Maryland,533
2004,Homicide,Massachusetts,175
2004,Homicide,Michigan,673
2004,Homicide,Minnesota,134
2004,Homicide,Mississippi,283
2004,Homicide,Missouri,369
2004,Homicide,Montana,25
2004,Homicide,Nebraska,39
2004,Homicide,Nevada,186
2004,Homicide,New Hampshire,23
2004,Homicide,New Jersey,405
2004,Homicide,New Mexico,173
2004,Homicide,New York,860
2004,Homicide,North Carolina,613
2004,Homicide,North Dakota,11
2004,Homicide,Ohio,563
2004,Homicide,Oklahoma,221
2004,Homicide,Oregon,112
2004,Homicide,Pennsylvania,683
2004,Homicide,Rhode Island,29
2004,Homicide,South Carolina,323
2004,Homicide,South Dakota,24
2004,Homicide,Tennessee,417
2004,Homicide,Texas,1416
2004,Homicide,United States,17357
2004,Homicide,Utah,45
2004,Homicide,Vermont,10
2004,Homicide,Virginia,407
2004,Homicide,Washington,217
2004,Homicide,West Virginia,79
2004,Homicide,Wisconsin,151
2004,Homicide,Wyoming,19
2005,Homicide,Alabama,433
2005,Homicide,Alaska,37
2005,Homicide,Arizona,532
2005,Homicide,Arkansas,219
2005,Homicide,California,2540
2005,Homicide,Colorado,182
2005,Homicide,Connecticut,107
2005,Homicide,Delaware,55
2005,Homicide,District of Columbia,180
2005,Homicide,Florida,998
2005,Homicide,Georgia,649
2005,Homicide,Hawaii,25
2005,Homicide,Idaho,45
2005,Homicide,Illinois,866
2005,Homicide,Indiana,368
2005,Homicide,Iowa,44
2005,Homicide,Kansas,106
2005,Homicide,Kentucky,222
2005,Homicide,Louisiana,592
2005,Homicide,Maine,22
2005,Homicide,Maryland,576
2005,Homicide,Massachusetts,178
2005,Homicide,Michigan,677
2005,Homicide,Minnesota,139
2005,Homicide,Mississippi,254
2005,Homicide,Missouri,417
2005,Homicide,Montana,33
2005,Homicide,Nebraska,44
2005,Homicide,Nevada,190
2005,Homicide,New Hampshire,19
2005,Homicide,New Jersey,427
2005,Homicide,New Mexico,152
2005,Homicide,New York,901
2005,Homicide,North Carolina,661
2005,Homicide,North Dakota,11
2005,Homicide,Ohio,630
2005,Homicide,Oklahoma,214
2005,Homicide,Oregon,102
2005,Homicide,Pennsylvania,749
2005,Homicide,Rhode Island,32
2005,Homicide,South Carolina,337
2005,Homicide,South Dakota,22
2005,Homicide,Tennessee,495
2005,Homicide,Texas,1501
2005,Homicide,United States,18124
2005,Homicide,Utah,63
2005,Homicide,Vermont,12
2005,Homicide,Virginia,490
2005,Homicide,Washington,231
2005,Homicide,West Virginia,93
2005,Homicide,Wisconsin,236
2005,Homicide,Wyoming,16
2006,Homicide,Alabama,445
2006,Homicide,Alaska,43
2006,Homicide,Arizona,549
2006,Homicide,Arkansas,234
2006,Homicide,California,2616
2006,Homicide,Colorado,181
2006,Homicide,Connecticut,132
2006,Homicide,Delaware,50
2006,Homicide,District of Columbia,150
2006,Homicide,Florida,1214
2006,Homicide,Georgia,687
2006,Homicide,Hawaii,28
2006,Homicide,Idaho,38
2006,Homicide,Illinois,865
2006,Homicide,Indiana,375
2006,Homicide,Iowa,73
2006,Homicide,Kansas,114
2006,Homicide,Kentucky,192
2006,Homicide,Louisiana,554
2006,Homicide,Maine,20
2006,Homicide,Maryland,568
2006,Homicide,Massachusetts,183
2006,Homicide,Michigan,722
2006,Homicide,Minnesota,128
2006,Homicide,Mississippi,318
2006,Homicide,Missouri,412
2006,Homicide,Montana,35
2006,Homicide,Nebraska,55
2006,Homicide,Nevada,219
2006,Homicide,New Hampshire,20
2006,Homicide,New Jersey,449
2006,Homicide,New Mexico,135
2006,Homicide,New York,962
2006,Homicide,North Carolina,622
2006,Homicide,North Dakota,11
2006,Homicide,Ohio,666
2006,Homicide,Oklahoma,226
2006,Homicide,Oregon,113
2006,Homicide,Pennsylvania,769
2006,Homicide,Rhode Island,39
2006,Homicide,South Carolina,391
2006,Homicide,South Dakota,21
2006,Homicide,Tennessee,486
2006,Homicide,Texas,1467
2006,Homicide,United States,18573
2006,Homicide,Utah,52
2006,Homicide,Vermont,13
2006,Homicide,Virginia,410
2006,Homicide,Washington,221
2006,Homicide,West Virginia,97
2006,Homicide,Wisconsin,194
2006,Homicide,Wyoming,
2007,Homicide,Alabama,480
2007,Homicide,Alaska,50
2007,Homicide,Arizona,528
2007,Homicide,Arkansas,243
2007,Homicide,California,2376
2007,Homicide,Colorado,173
2007,Homicide,Connecticut,106
2007,Homicide,Delaware,48
2007,Homicide,District of Columbia,159
2007,Homicide,Florida,1324
2007,Homicide,Georgia,771
2007,Homicide,Hawaii,24
2007,Homicide,Idaho,48
2007,Homicide,Illinois,863
2007,Homicide,Indiana,374
2007,Homicide,Iowa,51
2007,Homicide,Kansas,115
2007,Homicide,Kentucky,213
2007,Homicide,Louisiana,627
2007,Homicide,Maine,26
2007,Homicide,Maryland,573
2007,Homicide,Massachusetts,188
2007,Homicide,Michigan,704
2007,Homicide,Minnesota,120
2007,Homicide,Mississippi,286
2007,Homicide,Missouri,384
2007,Homicide,Montana,24
2007,Homicide,Nebraska,71
2007,Homicide,Nevada,188
2007,Homicide,New Hampshire,14
2007,Homicide,New Jersey,403
2007,Homicide,New Mexico,160
2007,Homicide,New York,840
2007,Homicide,North Carolina,674
2007,Homicide,North Dakota,14
2007,Homicide,Ohio,639
2007,Homicide,Oklahoma,251
2007,Homicide,Oregon,81
2007,Homicide,Pennsylvania,750
2007,Homicide,Rhode Island,24
2007,Homicide,South Carolina,382
2007,Homicide,South Dakota,15
2007,Homicide,Tennessee,475
2007,Homicide,Texas,1495
2007,Homicide,United States,18361
2007,Homicide,Utah,68
2007,Homicide,Vermont,13
2007,Homicide,Virginia,420
2007,Homicide,Washington,201
2007,Homicide,West Virginia,86
2007,Homicide,Wisconsin,202
2007,Homicide,Wyoming,17
2008,Homicide,Alabama,454
2008,Homicide,Alaska,29
2008,Homicide,Arizona,474
2008,Homicide,Arkansas,214
2008,Homicide,California,2280
2008,Homicide,Colorado,194
2008,Homicide,Connecticut,127
2008,Homicide,Delaware,65
2008,Homicide,District of Columbia,164
2008,Homicide,Florida,1300
2008,Homicide,Georgia,712
2008,Homicide,Hawaii,28
2008,Homicide,Idaho,25
2008,Homicide,Illinois,872
2008,Homicide,Indiana,323
2008,Homicide,Iowa,81
2008,Homicide,Kansas,112
2008,Homicide,Kentucky,240
2008,Homicide,Louisiana,541
2008,Homicide,Maine,34
2008,Homicide,Maryland,523
2008,Homicide,Massachusetts,167
2008,Homicide,Michigan,644
2008,Homicide,Minnesota,128
2008,Homicide,Mississippi,330
2008,Homicide,Missouri,482
2008,Homicide,Montana,40
2008,Homicide,Nebraska,78
2008,Homicide,Nevada,161
2008,Homicide,New Hampshire,22
2008,Homicide,New Jersey,377
2008,Homicide,New Mexico,151
2008,Homicide,New York,882
2008,Homicide,North Carolina,668
2008,Homicide,North Dakota,
2008,Homicide,Ohio,598
2008,Homicide,Oklahoma,230
2008,Homicide,Oregon,103
2008,Homicide,Pennsylvania,697
2008,Homicide,Rhode Island,29
2008,Homicide,South Carolina,354
2008,Homicide,South Dakota,20
2008,Homicide,Tennessee,479
2008,Homicide,Texas,1487
2008,Homicide,United States,17826
2008,Homicide,Utah,46
2008,Homicide,Vermont,17
2008,Homicide,Virginia,376
2008,Homicide,Washington,224
2008,Homicide,West Virginia,70
2008,Homicide,Wisconsin,153
2008,Homicide,Wyoming,18
2009,Homicide,Alabama,412
2009,Homicide,Alaska,26
2009,Homicide,Arizona,387
2009,Homicide,Arkansas,219
2009,Homicide,California,2124
2009,Homicide,Colorado,194
2009,Homicide,Connecticut,114
2009,Homicide,Delaware,45
2009,Homicide,District of Columbia,135
2009,Homicide,Florida,1134
2009,Homicide,Georgia,640
2009,Homicide,Hawaii,23
2009,Homicide,Idaho,22
2009,Homicide,Illinois,881
2009,Homicide,Indiana,341
2009,Homicide,Iowa,43
2009,Homicide,Kansas,128
2009,Homicide,Kentucky,212
2009,Homicide,Louisiana,573
2009,Homicide,Maine,30
2009,Homicide,Maryland,457
2009,Homicide,Massachusetts,176
2009,Homicide,Michigan,656
2009,Homicide,Minnesota,93
2009,Homicide,Mississippi,275
2009,Homicide,Missouri,428
2009,Homicide,Montana,35
2009,Homicide,Nebraska,48
2009,Homicide,Nevada,153
2009,Homicide,New Hampshire,15
2009,Homicide,New Jersey,328
2009,Homicide,New Mexico,175
2009,Homicide,New York,840
2009,Homicide,North Carolina,565
2009,Homicide,North Dakota,14
2009,Homicide,Ohio,541
2009,Homicide,Oklahoma,248
2009,Homicide,Oregon,103
2009,Homicide,Pennsylvania,650
2009,Homicide,Rhode Island,30
2009,Homicide,South Carolina,347
2009,Homicide,South Dakota,31
2009,Homicide,Tennessee,496
2009,Homicide,Texas,1502
2009,Homicide,United States,16799
2009,Homicide,Utah,51
2009,Homicide,Vermont,
2009,Homicide,Virginia,387
2009,Homicide,Washington,193
2009,Homicide,West Virginia,92
2009,Homicide,Wisconsin,162
2009,Homicide,Wyoming,17
2010,Homicide,Alabama,391
2010,Homicide,Alaska,44
2010,Homicide,Arizona,418
2010,Homicide,Arkansas,188
2010,Homicide,California,1954
2010,Homicide,Colorado,172
2010,Homicide,Connecticut,144
2010,Homicide,Delaware,61
2010,Homicide,District of Columbia,119
2010,Homicide,Florida,1114
2010,Homicide,Georgia,640
2010,Homicide,Hawaii,24
2010,Homicide,Idaho,23
2010,Homicide,Illinois,783
2010,Homicide,Indiana,315
2010,Homicide,Iowa,55
2010,Homicide,Kansas,105
2010,Homicide,Kentucky,199
2010,Homicide,Louisiana,541
2010,Homicide,Maine,26
2010,Homicide,Maryland,438
2010,Homicide,Massachusetts,204
2010,Homicide,Michigan,610
2010,Homicide,Minnesota,112
2010,Homicide,Mississippi,284
2010,Homicide,Missouri,438
2010,Homicide,Montana,30
2010,Homicide,Nebraska,60
2010,Homicide,Nevada,164
2010,Homicide,New Hampshire,19
2010,Homicide,New Jersey,388
2010,Homicide,New Mexico,152
2010,Homicide,New York,898
2010,Homicide,North Carolina,539
2010,Homicide,North Dakota,14
2010,Homicide,Ohio,569
2010,Homicide,Oklahoma,214
2010,Homicide,Oregon,115
2010,Homicide,Pennsylvania,689
2010,Homicide,Rhode Island,27
2010,Homicide,South Carolina,322
2010,Homicide,South Dakota,17
2010,Homicide,Tennessee,410
2010,Homicide,Texas,1363
2010,Homicide,United States,16259
2010,Homicide,Utah,52
2010,Homicide,Vermont,
2010,Homicide,Virginia,373
2010,Homicide,Washington,180
2010,Homicide,West Virginia,86
2010,Homicide,Wisconsin,159
2010,Homicide,Wyoming,
2011,Homicide,Alabama,392
2011,Homicide,Alaska,36
2011,Homicide,Arizona,402
2011,Homicide,Arkansas,208
2011,Homicide,California,1916
2011,Homicide,Colorado,191
2011,Homicide,Connecticut,135
2011,Homicide,Delaware,49
2011,Homicide,District of Columbia,109
2011,Homicide,Florida,1143
2011,Homicide,Georgia,618
2011,Homicide,Hawaii,18
2011,Homicide,Idaho,29
2011,Homicide,Illinois,812
2011,Homicide,Indiana,314
2011,Homicide,Iowa,54
2011,Homicide,Kansas,123
2011,Homicide,Kentucky,188
2011,Homicide,Louisiana,549
2011,Homicide,Maine,29
2011,Homicide,Maryland,418
2011,Homicide,Massachusetts,200
2011,Homicide,Michigan,654
2011,Homicide,Minnesota,103
